Time (s),Displacement (mm) ,Load (N),Width (mm),Base (mm),Final crack length (mm)
0,0.00001,-0.9744,25,9.45,6.93
0.1,-0.00003,-0.75392,,,
0.2,0,-0.61258,,,
0.3,0.00008,1.96709,,,
0.4,0.00029,8.69303,,,
0.5,0.0005,13.88118,,,
0.6,0.00067,19.71032,,,
0.7,0.00086,25.75273,,,
0.8,0.00106,32.64303,,,
0.9,0.00122,41.14278,,,
1,0.00138,63.14674,,,
1.1,0.00159,75.2018,,,
1.2,0.00183,84.56867,,,
1.3,0.00205,93.81493,,,
1.4,0.00231,118.76935,,,
1.5,0.00252,136.77661,,,
1.6,0.00265,147.87584,,,
1.7,0.0029,161.1837,,,
1.8,0.00313,176.50153,,,
1.9,0.0034,192.44899,,,
2,0.00363,213.16002,,,
2.1,0.00387,222.77304,,,
2.2,0.00409,226.67467,,,
2.3,0.00431,236.43794,,,
2.4,0.00454,248.70192,,,
2.5,0.00477,261.99814,,,
2.6,0.00508,275.14029,,,
2.7,0.00528,289.80402,,,
2.8,0.00558,298.18436,,,
2.9,0.00579,313.04211,,,
3,0.00606,331.35965,,,
3.1,0.00629,340.48444,,,
3.2,0.00656,358.29016,,,
3.3,0.00684,379.18591,,,
3.4,0.00711,389.95453,,,
3.5,0.00736,400.96097,,,
3.6,0.00762,420.73163,,,
3.7,0.00789,434.10077,,,
3.8,0.00806,446.16916,,,
3.9,0.00842,456.39224,,,
4,0.0087,487.19537,,,
4.1,0.009,507.26254,,,
4.2,0.00931,519.81403,,,
4.3,0.00955,544.06738,,,
4.4,0.00982,554.00232,,,
4.5,0.01013,571.62854,,,
4.6,0.01045,593.90405,,,
4.7,0.01076,604.51318,,,
4.8,0.01098,615.79633,,,
4.9,0.01131,628.06244,,,
5,0.01167,640.07092,,,
5.1,0.01195,651.75317,,,
5.2,0.01229,664.13989,,,
5.3,0.01259,695.19293,,,
5.4,0.01288,710.47168,,,
5.5,0.01319,730.5329,,,
5.6,0.01348,756.09851,,,
5.7,0.0138,772.80682,,,
5.8,0.01419,796.92334,,,
5.9,0.01449,820.41193,,,
6,0.01493,831.81775,,,
6.1,0.0152,838.24658,,,
6.2,0.01554,851.07953,,,
6.3,0.01584,868.20087,,,
6.4,0.01621,885.55597,,,
6.5,0.01657,907.94208,,,
6.6,0.01697,930.83362,,,
6.7,0.01729,952.81915,,,
6.8,0.01766,963.86725,,,
6.9,0.01797,993.87726,,,
7,0.01839,1009.23059,,,
7.1,0.01879,1025.72791,,,
7.2,0.01912,1047.70154,,,
7.3,0.01952,1062.44873,,,
7.4,0.01978,1075.1709,,,
7.5,0.02018,1097.94153,,,
7.6,0.02056,1119.63696,,,
7.7,0.02093,1132.07227,,,
7.8,0.02133,1162.64282,,,
7.9,0.02178,1183.35352,,,
8,0.02211,1216.62598,,,
8.1,0.02254,1231.38745,,,
8.2,0.0229,1244.64404,,,
8.3,0.02331,1258.89197,,,
8.4,0.02366,1274.07825,,,
8.5,0.02409,1291.84351,,,
8.6,0.02451,1327.20837,,,
8.7,0.02486,1347.41101,,,
