Specimen label,"1018_1"
End date,"Monday, January 24, 2022"
Thickness,"6.24000",mm
Width,"12.38000",mm
Final length,"57.02000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.38000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"0.000","0.000","0.10","0.00000","0.00000"
"0.100","0.004","21.82","0.00000","0.00000"
"0.200","0.014","214.86","0.00001","0.00000"
"0.300","0.024","359.52","0.00003","0.00000"
"0.400","0.033","450.60","0.00003","0.00001"
"0.500","0.042","552.33","0.00004","0.00002"
"0.600","0.050","608.29","0.00005","0.00002"
"0.700","0.058","714.68","0.00005","0.00002"
"0.800","0.067","786.10","0.00006","0.00002"
"0.900","0.075","874.52","0.00007","0.00003"
"1.000","0.084","979.49","0.00008","0.00003"
"1.100","0.092","1044.29","0.00009","0.00003"
"1.200","0.100","1157.22","0.00010","0.00004"
"1.300","0.109","1225.18","0.00010","0.00004"
"1.400","0.117","1324.88","0.00010","0.00004"
"1.500","0.125","1426.31","0.00011","0.00005"
"1.600","0.134","1539.06","0.00011","0.00005"
"1.700","0.142","1629.77","0.00011","0.00005"
"1.800","0.150","1770.52","0.00012","0.00005"
"1.900","0.159","1855.23","0.00012","0.00005"
"2.000","0.167","1988.62","0.00012","0.00006"
"2.100","0.175","2077.79","0.00013","0.00006"
"2.200","0.184","2180.04","0.00013","0.00006"
"2.300","0.192","2279.30","0.00013","0.00006"
"2.400","0.200","2395.80","0.00014","0.00006"
"2.500","0.208","2465.49","0.00014","0.00006"
"2.600","0.217","2594.92","0.00014","0.00006"
"2.700","0.225","2675.23","0.00015","0.00006"
"2.800","0.233","2776.44","0.00015","0.00006"
"2.900","0.242","2869.55","0.00015","0.00006"
"3.000","0.250","2978.25","0.00015","0.00006"
"3.100","0.259","3053.37","0.00016","0.00006"
"3.200","0.267","3165.77","0.00016","0.00006"
"3.300","0.275","3262.90","0.00016","0.00006"
"3.400","0.283","3347.59","0.00016","0.00006"
"3.500","0.292","3463.74","0.00016","0.00006"
"3.600","0.300","3558.18","0.00016","0.00006"
"3.700","0.309","3651.96","0.00016","0.00006"
"3.800","0.317","3748.07","0.00016","0.00005"
"3.900","0.325","3849.88","0.00016","0.00005"
"4.000","0.333","3919.33","0.00016","0.00005"
"4.100","0.342","4029.42","0.00016","0.00005"
"4.200","0.350","4102.82","0.00016","0.00005"
"4.300","0.358","4196.16","0.00016","0.00005"
"4.400","0.367","4282.89","0.00016","0.00005"
"4.500","0.375","4376.44","0.00016","0.00005"
"4.600","0.383","4469.62","0.00016","0.00005"
"4.700","0.392","4521.57","0.00016","0.00005"
"4.800","0.400","4621.38","0.00016","0.00005"
"4.900","0.409","4691.52","0.00016","0.00005"
"5.000","0.417","4770.72","0.00016","0.00005"
"5.100","0.425","4847.68","0.00016","0.00005"
"5.200","0.434","4924.49","0.00016","0.00005"
"5.300","0.442","4995.15","0.00016","0.00005"
"5.400","0.450","5100.06","0.00017","0.00005"
"5.500","0.458","5152.01","0.00017","0.00005"
"5.600","0.467","5238.78","0.00017","0.00005"
"5.700","0.475","5326.61","0.00017","0.00005"
"5.800","0.484","5405.45","0.00017","0.00005"
"5.900","0.492","5493.23","0.00017","0.00005"
"6.000","0.500","5555.87","0.00018","0.00005"
"6.100","0.508","5657.74","0.00018","0.00006"
"6.200","0.517","5736.38","0.00018","0.00005"
"6.300","0.525","5809.10","0.00019","0.00006"
"6.400","0.533","5908.36","0.00019","0.00006"
"6.500","0.542","5982.32","0.00019","0.00006"
"6.600","0.550","6066.10","0.00020","0.00006"
"6.700","0.558","6143.65","0.00020","0.00006"
"6.800","0.567","6246.46","0.00021","0.00006"
"6.900","0.575","6343.91","0.00021","0.00006"
"7.000","0.583","6398.89","0.00021","0.00006"
