Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm),Thickness(m),Width(m),Final length(m),Axial gauge length(m),Transverse gauge length(m),Crosshead Rate(mm/min)
0,0,0.1,0,0,0.00624,0.01238,0.05702,0.0254,0.01238,5
0.1,0.004,21.82,0,0,,,,,,
0.2,0.014,214.86,0.00001,0,,,,,,
0.3,0.024,359.52,0.00003,0,,,,,,
0.4,0.033,450.6,0.00003,0.00001,,,,,,
0.5,0.042,552.33,0.00004,0.00002,,,,,,
0.6,0.05,608.29,0.00005,0.00002,,,,,,
0.7,0.058,714.68,0.00005,0.00002,,,,,,
0.8,0.067,786.1,0.00006,0.00002,,,,,,
0.9,0.075,874.52,0.00007,0.00003,,,,,,
1,0.084,979.49,0.00008,0.00003,,,,,,
1.1,0.092,1044.29,0.00009,0.00003,,,,,,
1.2,0.1,1157.22,0.0001,0.00004,,,,,,
1.3,0.109,1225.18,0.0001,0.00004,,,,,,
1.4,0.117,1324.88,0.0001,0.00004,,,,,,
1.5,0.125,1426.31,0.00011,0.00005,,,,,,
1.6,0.134,1539.06,0.00011,0.00005,,,,,,
1.7,0.142,1629.77,0.00011,0.00005,,,,,,
1.8,0.15,1770.52,0.00012,0.00005,,,,,,
1.9,0.159,1855.23,0.00012,0.00005,,,,,,
2,0.167,1988.62,0.00012,0.00006,,,,,,
2.1,0.175,2077.79,0.00013,0.00006,,,,,,
2.2,0.184,2180.04,0.00013,0.00006,,,,,,
2.3,0.192,2279.3,0.00013,0.00006,,,,,,
2.4,0.2,2395.8,0.00014,0.00006,,,,,,
2.5,0.208,2465.49,0.00014,0.00006,,,,,,
2.6,0.217,2594.92,0.00014,0.00006,,,,,,
2.7,0.225,2675.23,0.00015,0.00006,,,,,,
2.8,0.233,2776.44,0.00015,0.00006,,,,,,
2.9,0.242,2869.55,0.00015,0.00006,,,,,,
3,0.25,2978.25,0.00015,0.00006,,,,,,
3.1,0.259,3053.37,0.00016,0.00006,,,,,,
3.2,0.267,3165.77,0.00016,0.00006,,,,,,
3.3,0.275,3262.9,0.00016,0.00006,,,,,,
3.4,0.283,3347.59,0.00016,0.00006,,,,,,
3.5,0.292,3463.74,0.00016,0.00006,,,,,,
3.6,0.3,3558.18,0.00016,0.00006,,,,,,
3.7,0.309,3651.96,0.00016,0.00006,,,,,,
3.8,0.317,3748.07,0.00016,0.00005,,,,,,
3.9,0.325,3849.88,0.00016,0.00005,,,,,,
4,0.333,3919.33,0.00016,0.00005,,,,,,
4.1,0.342,4029.42,0.00016,0.00005,,,,,,
4.2,0.35,4102.82,0.00016,0.00005,,,,,,
4.3,0.358,4196.16,0.00016,0.00005,,,,,,
4.4,0.367,4282.89,0.00016,0.00005,,,,,,
4.5,0.375,4376.44,0.00016,0.00005,,,,,,
4.6,0.383,4469.62,0.00016,0.00005,,,,,,
4.7,0.392,4521.57,0.00016,0.00005,,,,,,
4.8,0.4,4621.38,0.00016,0.00005,,,,,,
4.9,0.409,4691.52,0.00016,0.00005,,,,,,
5,0.417,4770.72,0.00016,0.00005,,,,,,
5.1,0.425,4847.68,0.00016,0.00005,,,,,,
5.2,0.434,4924.49,0.00016,0.00005,,,,,,
5.3,0.442,4995.15,0.00016,0.00005,,,,,,
5.4,0.45,5100.06,0.00017,0.00005,,,,,,
5.5,0.458,5152.01,0.00017,0.00005,,,,,,
5.6,0.467,5238.78,0.00017,0.00005,,,,,,
5.7,0.475,5326.61,0.00017,0.00005,,,,,,
5.8,0.484,5405.45,0.00017,0.00005,,,,,,
5.9,0.492,5493.23,0.00017,0.00005,,,,,,
6,0.5,5555.87,0.00018,0.00005,,,,,,
6.1,0.508,5657.74,0.00018,0.00006,,,,,,
6.2,0.517,5736.38,0.00018,0.00005,,,,,,
6.3,0.525,5809.1,0.00019,0.00006,,,,,,
6.4,0.533,5908.36,0.00019,0.00006,,,,,,
6.5,0.542,5982.32,0.00019,0.00006,,,,,,
6.6,0.55,6066.1,0.0002,0.00006,,,,,,
6.7,0.558,6143.65,0.0002,0.00006,,,,,,
6.8,0.567,6246.46,0.00021,0.00006,,,,,,
6.9,0.575,6343.91,0.00021,0.00006,,,,,,
7,0.583,6398.89,0.00021,0.00006,,,,,,
7.1,0.592,6508.93,0.00021,0.00006,,,,,,
7.2,0.6,6595.58,0.00022,0.00006,,,,,,
7.3,0.608,6665.29,0.00023,0.00006,,,,,,
7.4,0.617,6770.64,0.00023,0.00006,,,,,,
7.5,0.625,6879.22,0.00023,0.00006,,,,,,
7.6,0.633,6949.85,0.00024,0.00007,,,,,,
7.7,0.642,7043.66,0.00024,0.00007,,,,,,
7.8,0.65,7156.99,0.00024,0.00007,,,,,,
7.9,0.658,7212.97,0.00025,0.00007,,,,,,
8,0.667,7333.13,0.00025,0.00007,,,,,,
8.1,0.675,7416.34,0.00026,0.00007,,,,,,
8.2,0.683,7503.47,0.00026,0.00007,,,,,,
8.3,0.692,7592.06,0.00027,0.00007,,,,,,
8.4,0.7,7703.14,0.00027,0.00007,,,,,,
8.5,0.709,7794.28,0.00028,0.00008,,,,,,
