Angle (deg) ,Force  (kgf)
0,0
2,0.13
4,0.28
6,0.44
8,0.6
10,0.75
12,0.91
14,1.07
16,1.23
18,1.38
20,1.54
22,1.69
24,1.85
26,2
28,2.14
30,2.29
35,2.6
40,2.82
45,3.02
90,3.6
135,3.73
180,3.77
270,3.83
360,3.91
450,3.96
540,4.01
720,4.05
900,4.08
1080,4.11
1260,4.12
1620,4.15
1980,4.18
2340,4.18
2700,4.17
3060,4.17
3420,4.17
3780,4.17
4140,4.1
4500,4.07
4860,4.04
5220,4
5580,3.97
5940,3.95
6300,3.89
6660,3.93
7020,3.95
7380,3.91
7740,3.95
8100,3.96
8460,4.02
8820,4
9180,3.98
9540,4
9900,4.01
10260,4
10620,4
10980,4.03
11340,4.09
11700,4.05
12060,4.06
12420,4.03
12780,4.02
13140,4.13
13500,4.08
13860,4.14
14220,4.16
14580,4.21
14940,4.11
15300,4.09
