Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm),Thickness(m),Width(m),Final length(m),Axial gauge length(m),Transverse gauge length(m),Crosshead Rate(mm/min)
0,0,0.06,0,0,0.00628,0.01233,0.05708,0.0254,0.01233,5
0.1,0.004,7.4,0,0,,,,,,
0.2,0.014,106.22,0,0,,,,,,
0.3,0.024,233.88,0.00002,0.00001,,,,,,
0.4,0.033,330.01,0.00003,0.00001,,,,,,
0.5,0.042,432.85,0.00004,0.00002,,,,,,
0.6,0.05,513.44,0.00005,0.00002,,,,,,
0.7,0.059,613.98,0.00007,0.00002,,,,,,
0.8,0.067,691.87,0.00008,0.00002,,,,,,
0.9,0.075,790.28,0.00009,0.00002,,,,,,
1,0.084,874.5,0.00009,0.00003,,,,,,
1.1,0.092,1000.58,0.0001,0.00003,,,,,,
1.2,0.1,1078.3,0.00009,0.00003,,,,,,
1.3,0.109,1180.38,0.00009,0.00004,,,,,,
1.4,0.117,1285.31,0.00009,0.00004,,,,,,
1.5,0.125,1382.77,0.00008,0.00004,,,,,,
1.6,0.134,1465.69,0.00008,0.00004,,,,,,
1.7,0.142,1574.15,0.00008,0.00005,,,,,,
1.8,0.15,1672.57,0.00008,0.00005,,,,,,
1.9,0.159,1752.64,0.00007,0.00005,,,,,,
2,0.167,1870.46,0.00007,0.00005,,,,,,
2.1,0.175,1953.24,0.00007,0.00006,,,,,,
2.2,0.184,2045.46,0.00006,0.00006,,,,,,
2.3,0.192,2123.41,0.00007,0.00006,,,,,,
2.4,0.2,2222.26,0.00006,0.00006,,,,,,
2.5,0.209,2286.25,0.00006,0.00006,,,,,,
2.6,0.217,2351,0.00007,0.00007,,,,,,
2.7,0.225,2442.55,0.00007,0.00007,,,,,,
2.8,0.234,2523.44,0.00007,0.00007,,,,,,
2.9,0.242,2583.34,0.00007,0.00007,,,,,,
3,0.25,2676.59,0.00007,0.00007,,,,,,
3.1,0.258,2742.19,0.00008,0.00007,,,,,,
3.2,0.267,2839.79,0.00008,0.00007,,,,,,
3.3,0.275,2900.76,0.00009,0.00007,,,,,,
3.4,0.284,2987.01,0.00009,0.00008,,,,,,
3.5,0.292,3092.17,0.00009,0.00008,,,,,,
3.6,0.3,3140.05,0.0001,0.00008,,,,,,
3.7,0.309,3231.43,0.0001,0.00008,,,,,,
3.8,0.317,3326.53,0.0001,0.00008,,,,,,
3.9,0.325,3411.37,0.00011,0.00008,,,,,,
4,0.334,3494.86,0.00011,0.00008,,,,,,
4.1,0.342,3570.21,0.00011,0.00008,,,,,,
4.2,0.35,3682.84,0.00011,0.00008,,,,,,
4.3,0.358,3752.81,0.00012,0.00008,,,,,,
4.4,0.367,3854.19,0.00012,0.00008,,,,,,
4.5,0.375,3956.98,0.00012,0.00008,,,,,,
4.6,0.383,4037.58,0.00012,0.00008,,,,,,
4.7,0.392,4130.75,0.00012,0.00008,,,,,,
4.8,0.4,4228.78,0.00013,0.00008,,,,,,
4.9,0.409,4329.48,0.00013,0.00008,,,,,,
5,0.417,4398.63,0.00013,0.00009,,,,,,
5.1,0.425,4518,0.00013,0.00009,,,,,,
5.2,0.433,4599.16,0.00013,0.00009,,,,,,
5.3,0.442,4703.48,0.00013,0.00009,,,,,,
5.4,0.45,4799.9,0.00013,0.00009,,,,,,
5.5,0.459,4914.69,0.00014,0.00009,,,,,,
5.6,0.467,4994.86,0.00014,0.00009,,,,,,
5.7,0.475,5107.2,0.00014,0.00009,,,,,,
5.8,0.483,5209.24,0.00014,0.00009,,,,,,
5.9,0.492,5312.2,0.00015,0.0001,,,,,,
6,0.5,5402.5,0.00015,0.0001,,,,,,
6.1,0.509,5531.21,0.00015,0.0001,,,,,,
6.2,0.517,5621.6,0.00016,0.0001,,,,,,
6.3,0.525,5728.13,0.00016,0.0001,,,,,,
6.4,0.534,5839.71,0.00017,0.0001,,,,,,
6.5,0.542,5945.49,0.00017,0.0001,,,,,,
6.6,0.55,6052.59,0.00018,0.00011,,,,,,
6.7,0.559,6172.17,0.00019,0.00011,,,,,,
6.8,0.567,6234.87,0.00019,0.00011,,,,,,
6.9,0.575,6364.93,0.0002,0.00011,,,,,,
7,0.583,6460.21,0.0002,0.00012,,,,,,
7.1,0.592,6544.87,0.00021,0.00012,,,,,,
7.2,0.6,6652.14,0.00021,0.00012,,,,,,
7.3,0.608,6767.08,0.00022,0.00012,,,,,,
7.4,0.617,6841.19,0.00022,0.00012,,,,,,
7.5,0.625,6967.07,0.00023,0.00013,,,,,,
7.6,0.634,7063.73,0.00023,0.00013,,,,,,
7.7,0.642,7167.34,0.00024,0.00013,,,,,,
7.8,0.65,7273.32,0.00025,0.00013,,,,,,
7.9,0.658,7372.97,0.00025,0.00013,,,,,,
